LANG;TYPE;DOMAIN;SUBDOMAIN;NAME;URL
EN;Cheatsheet;Security;All;SANS Institute;https://www.sans.org/posters/
EN;Cheatsheet;Security;CERT;CERT-SG;https://github.com/certsocietegenerale/IRM
EN;Cheatsheet;Security;Web;OWASP;https://cheatsheetseries.owasp.org/
EN;CTF training;Security;All;HackTheBox;https://www.hackthebox.com/
EN;CTF training;Security;All;picoCTF;https://play.picoctf.org/
EN;CTF training;Security;All;Root-Me;https://www.root-me.org/
EN;CTF training;Security;All;TryHackMe;https://tryhackme.com/
EN;CTF training;Security;CERT;CyberDefenders;https://cyberdefenders.org/labs/
EN;CTF training;Security;Crypto;CryptoHack;https://cryptohack.org/
EN;MOOC;Security;CERT;CIRCL;https://www.circl.lu/services/training/
EN;MOOC;Security;CERT;ENISA;https://www.enisa.europa.eu/topics/trainings-for-cybersecurity-specialists/online-training-material
EN;MOOC;Security;CERT;FIRST;https://www.first.org/education/trainings
EN;MOOC;Security;CTI;MISP;https://github.com/MISP/misp-training
EN;MOOC;Security;CTI;MITRE ATTACK;https://attack.mitre.org/resources/training/cti/
EN;MOOC;Security;Pentest;Metasploit;https://www.offensive-security.com/metasploit-unleashed/
EN;MOOC;Security;Web;Web Security Academy;https://portswigger.net/web-security
EN;RSS feed;Security;CERT;MSRC;https://msrc-blog.microsoft.com/feed/
EN;RSS feed;Security;CERT;NCSC-UK;https://www.ncsc.gov.uk/api/1/services/v1/all-rss-feed.xml
EN;RSS feed;Security;CERT;NVD;https://nvd.nist.gov/feeds/xml/cve/misc/nvd-rss.xml
EN;RSS feed;Security;CERT;NVD Analyzed;https://nvd.nist.gov/feeds/xml/cve/misc/nvd-rss-analyzed.xml
EN;RSS feed;Security;CERT;US-CERT;https://us-cert.cisa.gov/ncas/all.xml
EN;RSS feed;Security;Enterprise;Acunetix;https://www.acunetix.com/blog/feed
EN;RSS feed;Security;Enterprise;AlienVault;https://cybersecurity.att.com/site/blog-all-rss
EN;RSS feed;Security;Enterprise;AWS;https://aws.amazon.com/blogs/security/feed/
EN;RSS feed;Security;Enterprise;Bitdefender;https://www.bitdefender.com/blog/api/rss/labs/
EN;RSS feed;Security;Enterprise;Bugcrowd;https://www.bugcrowd.com/feed/
EN;RSS feed;Security;Enterprise;Check Point;https://research.checkpoint.com/feed
EN;RSS feed;Security;Enterprise;Cisco Talos;https://blog.talosintelligence.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;CompTIA;https://www.comptia.org/rssfeeds/comptia-blog
EN;RSS feed;Security;Enterprise;Crowdstrike;https://www.crowdstrike.com/blog/feed
EN;RSS feed;Security;Enterprise;Cybereason;https://www.cybereason.com/blog/rss.xml
EN;RSS feed;Security;Enterprise;Dell Secureworks;"https://www.secureworks.com/rss?feed=blog&amp;category=research-intelligence"
EN;RSS feed;Security;Enterprise;DomainTools;https://www.domaintools.com/resources/blog/feed/
EN;RSS feed;Security;Enterprise;Dragos;https://www.dragos.com/feed
EN;RSS feed;Security;Enterprise;EC-Council;https://blog.eccouncil.org/feed/
EN;RSS feed;Security;Enterprise;Eset WeLiveSecurity;https://www.welivesecurity.com/feed
EN;RSS feed;Security;Enterprise;Excellium;https://excellium-services.com/feed/
EN;RSS feed;Security;Enterprise;F-Secure;https://labs.f-secure.com/blog/rss
EN;RSS feed;Security;Enterprise;F5;https://www.f5.com/labs/rss-feeds/all.xml
EN;RSS feed;Security;Enterprise;Facebook;https://engineering.fb.com/category/security/feed/
EN;RSS feed;Security;Enterprise;FireEye;https://www.fireeye.com/blog/feed
EN;RSS feed;Security;Enterprise;Forcepoint;https://www.forcepoint.com/rss.xml
EN;RSS feed;Security;Enterprise;GitHub;https://securitylab.github.com/research/feed.xml
EN;RSS feed;Security;Enterprise;Google;https://security.googleblog.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;Google Project Zero;https://googleprojectzero.blogspot.com/feeds/posts/default
EN;RSS feed;Security;Enterprise;HackerOne;https://www.hackerone.com/blog.rss
EN;RSS feed;Security;Enterprise;Hex Rays;https://hex-rays.com/feed/
EN;RSS feed;Security;Enterprise;IBM X-Force;https://securityintelligence.com/category/x-force/feed
EN;RSS feed;Security;Enterprise;Intigriti;https://blog.intigriti.com/feed/
EN;RSS feed;Security;Enterprise;Kaspersky;https://www.kaspersky.com/blog/feed/
EN;RSS feed;Security;Enterprise;Kaspersky Securelist;https://securelist.com/feed/
EN;RSS feed;Security;Enterprise;Luatix;https://medium.com/feed/luatix
EN;RSS feed;Security;Enterprise;Malwarebytes;https://blog.malwarebytes.com/feed/
EN;RSS feed;Security;Enterprise;McAfee;https://www.mcafee.com/blogs/feed/
EN;RSS feed;Security;Enterprise;Microsoft;https://www.microsoft.com/security/blog/feed/
EN;RSS feed;Security;Enterprise;MITRE ATTACK;https://medium.com/feed/mitre-attack
